kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
9490;1900-2030;;USA;Voice of America;F;Af;/KWT;0;;
9490;2030-2100;Su;USA;Voice of America;F;WAf;/STP;0;;
9490;2030-2100;Sa;USA;Voice of America;HA;WAf;/STP;0;;
9490;2030-2100;Mo-Fr;USA;Voice of America;HA;WAf;/STP;0;;
9490;2100-2130;Mo-Fr;USA;Voice of America;F;WAf;/KWT;0;;
9490;2130-2200;Mo-Fr;USA;Voice of America;BM;WAf;/ASC;0;;
9495;1300-1400;Mo-Fr;USA;World Harvest Radio;E,S;Car;c;0;;
9495;1400-1800;;USA;World Harvest Radio;E,S;Car;c;0;;
9500;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;s;1;;
9500;0850-1805;;CHN;China National Radio 1;M;CHN;s;1;;
9500;2023-0600;;CHN;China National Radio 1;M;CHN;s;1;;
9500;1430-1500;We-Su;IND;FEBA India;HI;SAs;/UZB;0;;
9500;0000-0200;;OMA;Radio Sultanate Oman;A;Eu;t;1;;
9500;1600-1700;;ROU;Radio Romania Int.;F;SEu;s;0;;
9500;1700-1800;;ROU;Radio Romania Int.;RO;SEu;g;0;;
9500;1800-1900;;ROU;Radio Romania Int.;RO;SEu;g;0;;
9500;1900-2000;;ROU;Radio Romania Int.;RO;SEu;g;0;;
9500;1630-1645;Su-Mo;SWZ;Trans World Radio;AH;ETH;;5;;
9500;1630-1645;Fr,Sa;SWZ;Trans World Radio;KAM;ETH;;5;;
9500;1630-1645;Tu;SWZ;Trans World Radio;OO;ETH;;5;;
9500;1630-1700;We-Th;SWZ;Trans World Radio;OO;ETH;;5;;
9500;1645-1700;Mo-We;SWZ;Trans World Radio;BNA;ETH;;5;;
9500;1645-1700;Fr,Sa;SWZ;Trans World Radio;HAD;ETH;;5;;
9500;1645-1700;Su;SWZ;Trans World Radio;OO;ETH;;5;;
9500;1700-1715;;SWZ;Trans World Radio;AH;ETH;;5;;
9500;1715-1730;Su-Fr;SWZ;Trans World Radio;AH;ETH;;5;;
9500;1715-1730;Sa;SWZ;Trans World Radio;OO;ETH;;5;;
9500;1730-1800;Mo-Sa;SWZ;Trans World Radio;OO;ETH;;5;;
9500;1730-1800;Su;SWZ;Trans World Radio;AH;ETH;;5;;
9500;1802-1832;Mo-Sa;SWZ;Trans World Radio;E;EAf;;1;;
9500;1832-1847;Mo-Fr;SWZ;Trans World Radio;JU;EAf;;1;;
9500;1832-1850;Su;SWZ;Trans World Radio;SWA;EAf;;1;;
9500;1832-1902;Sa;SWZ;Trans World Radio;E;EAf;;1;;
9505;0800-2350;;B;Rádio Record;P;SAm;sr;3;;
9505;0200-0400;;CHN;Voice of Strait;M;FE;gu;1;;
9505;0400-0945;Th-Tu;CHN;Voice of Strait;M;FE;gu;1;;
9505;0530-0600;Su;CHN;Voice of Strait;E;FE;gu;1;;
9505;0945-1000;;CHN;Voice of Strait;M;FE;gu;1;;
9505;1000-1300;;CHN;Voice of Strait;M;FE;gu;1;;[0518]
9505;2200-2300;;USA;World Harvest Radio 1;E;ENA;c;6;2503;0605
9505;2200-2300;;USA;World Harvest Radio 1;E;ENA;c;6;0209;2810
9505;2300-2400;Sa;USA;World Harvest Radio 1;E;ENA;c;6;2503;0605
9505;2300-2400;Sa;USA;World Harvest Radio 1;E;ENA;c;6;0209;2810
9510;0510-1030;;CHN;PBS Xinjiang;MO;CHN;uc;1;;
9510;0030-0100;;G;BBC;BE;SAs;/UZB;6;2503;0804
9510;0100-0130;;G;BBC;HI;SAs;/UZB;0;;
9510;1330-1400;;G;BBC;BE;SAs;/SNG;0;;
9510;1400-1430;;G;BBC;HI;SAs;/SNG;0;;
9510;0800-0900;Sa;I;IRRS Milano;D;Eu;/ROU-s;2;;
9510;0930-1200;Su;I;IRRS Milano;E;Eu;/ROU-s;2;;
9510;1220-1320;;IRN;IRIB Voice of I.R.Iran;PS;CAs;s;0;;
9510;1910-1920;Fr,Su;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0617]
9510;0200-0300;;ROU;Radio Romania Int.;S;SAm;g;0;;
9510;1500-1530;;USA;Adventist World Radio;TAM;SAs;/CLN-t;0;;
9515;0800-2400;;B;Rádio Marumby;P;SAm;ca;3;;[0418]
9515;1900-1930;;CHN;China Radio Int.;CZ;WEu;s;0;;
9515;0900-1605;;CHN;CNR 2 China Business R.;M;CHN;B;5;;
9515;1000-1605;;CHN;CNR 2 China Business R.;M;CHN;B;4;;
9515;2055-2400;;CHN;CNR 2 China Business R.;M;CHN;B;1;;
9515;1500-1700;;KOR;KBS World Radio;E;Eu;k;1;;
9515;1700-1900;;KOR;KBS World Radio;K;Eu;k;1;;
9515;0300-0400;;TUR;Voice of Turkey;E;NAm;e;0;;
9515;1930-2000;Su;USA;PanAmerican Broadcasting;E;NAf;/D-n;0;;
9520;0600-0850;We-Mo;CHN;PBS Nei Menggu;M;CHN;hh;1;;[1116]
9520;0850-1605;;CHN;PBS Nei Menggu;M;CHN;hh;1;;[1215]
9520;2150-0600;;CHN;PBS Nei Menggu;M;CHN;hh;1;;[0917]
9520;0700-0800;Su;ROU;Radio Romania Int.;RO;ME;t;0;;
9520;1400-1430;;ROU;Radio Romania Int.;I;SEu;s;0;;
9525;1900-2000;;CHN;China Radio Int.;R;EEu;b;0;;
9525;2000-2100;;CHN;China Radio Int.;R;EEu;b;0;;
9525;0230-0500;;CLA;Dengê Welat;KU;ME;/F;0;;
9525;1000-1100;;INS;Voice of Indonesia;E;Oc;j;8;;[0717]
9525;1100-1200;;INS;Voice of Indonesia;M;FE;j;8;;
9525;1200-1300;;INS;Voice of Indonesia;J;FE;j;8;;[1017]
9525;1300-1400;;INS;Voice of Indonesia;E;FE;j;8;;[1217]
9525;1400-1500;;INS;Voice of Indonesia;IN;FE;j;8;;[1017]
9525;1500-1600;;INS;Voice of Indonesia;NL;FE;j;8;;[0717]
9525;1600-1700;;INS;Voice of Indonesia;A;ME;j;8;;[1117]
9525;1700-1800;;INS;Voice of Indonesia;S;Eu;j;8;;[0817]
9525;1800-1900;;INS;Voice of Indonesia;D;Eu;j;8;;[1017]
9525;1900-2000;;INS;Voice of Indonesia;E;Eu;j;8;;[1117]
9525;2000-2100;;INS;Voice of Indonesia;F;Eu;j;8;;[1117]
9525;2100-2200;irr;INS;Voice of Indonesia;J;Eu;j;8;;
9530;1000-1959;;B;Rádio Transmundial;P;SAm;sm;3;;[1117]
9530;0000-0200;;CHN;China National Radio 11;TB;CHN;as;1;;
9530;0200-0300;;CHN;China National Radio 11;AMD;CHN;as;1;;
9530;0300-0400;;CHN;China National Radio 11;KHA;CHN;as;1;;
9530;0400-0600;;CHN;China National Radio 11;TB;CHN;as;1;;
9530;0600-0900;Th-Tu;CHN;China National Radio 11;TB;CHN;as;1;;
9530;0900-1030;;CHN;China National Radio 11;TB;CHN;as;4;;
9530;0900-1100;;CHN;China National Radio 11;TB;CHN;as;5;;
9530;1100-1300;;CHN;China National Radio 11;TB;CHN;as;5;;
9530;2145-2215;Th-Tu;EQA;HCJB R.Akhbar Mufriha;HAS;WAf;/ASC;1;;
9530;1530-1630;;TUR;Voice of Turkey;AZ;Cau;e;0;;
9535;0500-0504;;ALG;Radio Algerienne;A;CAf;/F;0;;
9535;0504-0514;;ALG;Radio Algerienne;F;CAf;/F;0;;
9535;0514-0600;;ALG;Radio Algerienne;A;CAf;/F;0;;
9535;0100-0200;;CHN;China Radio Int.;E;SAs;ka;0;;
9535;1330-1430;;CHN;China Radio Int.;IN;INS;k;0;;
9535;1900-2000;;CHN;China Radio Int.;P;SAf;a;0;;
9535;2200-2300;;CHN;China Radio Int.;J;FE;x;0;;
9535;2300-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9535;0000-0100;;CUB;Radio Habana Cuba;S;CAm;be;1;;
9535;0100-0200;;CUB;Radio Habana Cuba;S;CAm;be;1;;
9535;0200-0300;;CUB;Radio Habana Cuba;S;CAm;be;4;;
9535;0200-0400;;CUB;Radio Habana Cuba;S;CAm;be;5;;
9535;0300-0500;;CUB;Radio Habana Cuba;S;CAm;be;4;;
9535;0400-0500;;CUB;Radio Habana Cuba;S;CAm;be;5;;
9535;0500-0600;;CUB;Radio Habana Cuba;S;CAm;be;4;;
9535;1100-1200;;CUB;Radio Habana Cuba;S;CAm;be;5;;
9535;1200-1300;;CUB;Radio Habana Cuba;S;CAm;be;1;;
9535;1300-1400;;CUB;Radio Habana Cuba;S;CAm;be;1;;
9535;1400-1500;;CUB;Radio Habana Cuba;S;CAm;be;1;;
9535;1500-1600;;CUB;Radio Habana Cuba;S;CAm;be;4;;
9535;2100-2300;;CUB;Radio Habana Cuba;S;CAm;be;5;;
9535;2200-2300;;CUB;Radio Habana Cuba;S;CAm;be;4;;
9535;2300-2400;;CUB;Radio Habana Cuba;S;CAm;be;1;;
9535;2000-2030;;ROU;Radio Romania DIGITAL;F;SEu;g;0;;
9535;2030-2100;;ROU;Radio Romania DIGITAL;E;WEu;g;0;;
9535;2300-2400;;USA;Radio Free Asia;M;FE;/KWT;0;;
9540;1100-1200;;CHN;China Radio Int.;CA;Oc;b;0;;
9540;1200-1400;;CHN;China Radio Int.;M;SAs;k;0;;
9540;1630-1700;;G;BBC;BE;SAs;/SNG;6;2503;0804
9540;1520-1620;;IRN;IRIB Voice of I.R.Iran;E;SAs;s;0;;
9540;0200-0300;;OMA;Radio Sultanate Oman;A;EAf;t;1;;[0716]
9540;0300-0400;;OMA;Radio Sultanate Oman;E;EAf;t;1;;[0716]
9540;0940-0950;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0111;2802[0218]
9540;1400-1500;;TUR;Voice of Turkey;A;ME;e;0;;
9540;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
9540;0700-0800;;TWN;Sound of Hope;M;FE;;1;;[0417]
9540;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0418]
9540;1000-1100;;TWN;Sound of Hope;M;FE;;1;;[0617]
9540;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
9540;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
9540;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
9540;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
9540;1700-1900;;TWN;Sound of Hope;M;FE;;1;;
9540;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
9540;2300-0100;;TWN;Sound of Hope;M;FE;;1;;[0417]
9540;2100-2200;;USA;Radio Free Asia;K;FE;/MRA-t;0;;
9545;1200-1300;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
9545;1730-1750;Mo-Fr;G;BBC;AH;EAf;/BUL-s;0;;
9545;1750-1810;Mo-Fr;G;BBC;OO;EAf;/BUL-s;0;;
9545;1810-1830;Mo-Fr;G;BBC;TIG;EAf;/BUL-s;0;;
9545;1830-1850;Mo-Fr;G;BBC;AH;EAf;/UAE;0;;
9545;1850-1910;Mo-Fr;G;BBC;OO;EAf;/UAE;0;;
9545;1910-1930;Mo-Fr;G;BBC;TIG;EAf;/UAE;0;;
9545;1930-2000;;G;BBC;HA;WAf;w;0;;
9545;2000-2030;Fr;G;BBC;HA;WAf;w;0;;
9545;2200-0457;;SLM;Solomon Islands B.C.;E;SLM;;1;;[1117]
9545;1200-1300;;TWN;Radio Taiwan Int.;M;CHN;s;1;;
9550;1000-2300;;B;R.Boa Vontade, P.Alegre;P;B;e;3;;[0418]
9550;0000-0100;;CHN;China Radio Int.;HK;INS;k;0;;
9550;0100-0200;;CHN;China Radio Int.;AM;SEA;k;0;;
9550;1100-1200;;CHN;China Radio Int.;VN;SEA;b;0;;
9550;1200-1300;;CHN;China Radio Int.;VN;SEA;b;0;;
9550;1300-1400;;CHN;China Radio Int.;VN;SEA;b;0;;
9550;1400-1500;;CHN;China Radio Int.;VN;SEA;b;0;;
9550;1500-1600;;CHN;China Radio Int.;VN;SEA;b;0;;
9550;1600-1700;;CHN;China Radio Int.;VN;SEA;b;0;;
9550;0800-1300;irr;EGY;Unknown Station;-MX;ME;;1;;[0518]
9550;0445-0515;Su;G;Bible Voice;A;ME;/D-n;0;;
9550;0020-0320;;IRN;IRIB Voice of I.R.Iran;S;CAm;s;0;;
9555;1800-2300;;ARS;BSKSA 1;A;NAf;;1;;[0118]
9555;1600-1800;;CHN;China Radio Int.;A;EGY;/ALB-c;0;;
9555;2300-2400;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9555;2300-2400;;USA;Radio Free Asia;TB;FE;/UAE;0;;
9560;0100-0200;;CHN;China Radio Int.;M;SAs;ka;0;;
9560;1500-1600;;CHN;China Radio Int.;M;SAs;ka;0;;
9560;1800-1900;;CHN;China Radio Int.;R;CAs;b;0;;
9560;1900-1930;;CHN;China Radio Int.;HU;Eu;u;0;;
9560;0300-1135;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
9560;1135-1200;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
9560;1430-1500;;CLA;Furusato no Kaze;J;KRE;/TWN-s;1;;
9560;1230-1315;Sa;CVA;Radio Vaticana;M;FE;/PHL-t;0;;
9560;1320-1420;;IRN;IRIB Voice of I.R.Iran;KU;ME;s;0;;
9560;0315-0400;;J;NHK Radio Japan;SWA;EAf;/MDG;0;;
9560;2130-2200;;J;NHK Radio Japan;IN;INS;y;0;;
9560;2209-2230;;J;NHK Radio Japan;K;FE;y;0;;
9560;2230-2250;;J;NHK Radio Japan;M;FE;y;0;;
9564.9;0000-2400;;B;Super Rádio Deus é Amor;P;SAm;cu;1;;[0418]
9565;1500-1600;;CHN;China Radio Int.;TU;ME;/ALB-c;0;;
9565;1200-1500;;CLA;National Unity Bc.Sta.;K;KRE;/TWN;1;;
9565;2000-2030;;USA;Adventist World Radio;F;CAf;/D-n;6;2503;0105
9565;2000-2400;;USA;Radio Marti;S;CUB;g;0;;
9570;0000-0100;;CHN;China Radio Int.;E;ENA;/ALB-c;0;;
9570;0100-0200;;CHN;China Radio Int.;E;ENA;/ALB-c;0;;
9570;0200-0300;;CHN;China Radio Int.;M;ENA;/ALB-c;0;;
9570;0300-0400;;CHN;China Radio Int.;M;ENA;/ALB-c;0;;
9570;1100-1200;;CHN;China Radio Int.;CA;Oc;k;0;;
9570;1200-1300;;CHN;China Radio Int.;CA;ENA;/CUB;0;;
9570;1300-1400;;CHN;China Radio Int.;E;ENA;/CUB;0;;
9570;1500-1530;;CHN;China Radio Int.;FS;IRN;u;0;;
9570;1530-1600;;CHN;China Radio Int.;PS;AFG;u;0;;
9570;1600-1700;;CHN;China Radio Int.;E;SAf;b;0;;
9570;1700-1800;;CHN;China Radio Int.;E;SAf;b;0;;
9570;2030-2230;;CHN;China Radio Int.;F;SEu;u;0;;
9570;0100-0600;;CHN;CNR 2 China Business R.;M;CHN;q;5;;
9570;0300-0600;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
9570;0600-0855;Th-Tu;CHN;CNR 2 China Business R.;M;CHN;q;1;;
9570;0855-1000;;CHN;CNR 2 China Business R.;M;CHN;q;4;;
9570;0855-1100;;CHN;CNR 2 China Business R.;M;CHN;q;5;;
9570;1900-2000;;EGY;Radio Cairo;D;Eu;a;0;;[0518]
9570;0800-0900;;KOR;KBS World Radio;K;SEA;k;1;;
9570;0900-1100;;KOR;KBS World Radio;K;SEA;k;1;;
9570;1200-1300;;KOR;KBS World Radio;IN;SEA;k;1;;
9570;1300-1400;;KOR;KBS World Radio;E;SEA;k;1;;
9570;1400-1500;;KOR;KBS World Radio;IN;SEA;k;1;;
9570;1800-1900;;MDG;MWV New Life Station;R;EEu;m;1;;
9575;1215-1330;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
9575;1215-1330;;IND;All India Radio GOS;TB;Tib;b;1;;
9580;0300-0600;;ARS;BSKSA 2;A;ME;j;8;;
9580;1700-2200;;ARS;BSKSA 2;A;ME;j;8;;
9580;0100-0200;;CHN;China Radio Int.;E;ENA;/CUB;0;;
9580;0200-0300;;CHN;China Radio Int.;M;ENA;/CUB;0;;
9580;0200-0700;;CHN;PBS Xizang;TB;CHN;t;1;;
9580;0700-0800;We-Mo;CHN;PBS Xizang;E;CHN;t;1;;
9580;0800-0930;We-Mo;CHN;PBS Xizang;TB;CHN;t;1;;[0418]
9580;2320-0020;;IRN;IRIB Voice of I.R.Iran;M;FE;s;0;;
9580;0100-0200;;KOR;KBS World Radio;J;J;k;1;;
9580;0200-0300;;KOR;KBS World Radio;E;SAm;k;1;;
9580;1500-1530;;ROU;Radio Romania DIGITAL;R;EEu;t;0;;
9580;1530-1600;;USA;Adventist World Radio;KAN;SAs;/UZB;0;;
9580;1600-1630;;USA;Adventist World Radio;E;SAs;/CLN-t;0;;
9585;1500-1600;;CHN;China Radio Int.;J;FE;x;0;;
9585;2000-2030;;CHN;China Radio Int.;SR;SEE;ka;0;;
9585;2030-2100;;CHN;China Radio Int.;HU;Eu;ka;0;;
9585;1330-1415;;G;BBC;BR;SEA;/SNG;0;;
9585;1455-1525;SaSu;SWZ;Trans World Radio;F;MDG;;1;;
9585;1455-1525;Mo-Fr;SWZ;Trans World Radio;MSY;MDG;;1;;
9585;1200-1230;Su-Th;USA;Adventist World Radio;AM;FE;/GUM-a;0;;
9585;1200-1230;Fr-Sa;USA;Adventist World Radio;M;FE;/GUM-a;0;;
9585;1230-1300;Fr;USA;Adventist World Radio;M;FE;/GUM-a;0;;
9585;1230-1300;Sa-Th;USA;Adventist World Radio;CA;FE;/GUM-a;0;;
9590;0100-0300;;CHN;China Radio Int.;S;SAm;ka;0;;
9590;0500-0700;;CHN;China Radio Int.;A;EGY;/ALB-c;0;;
9590;1100-1200;;CHN;China Radio Int.;CA;SEA;k;0;;
9590;2200-2300;;CHN;China Radio Int.;E;FE;b;0;;
9590;2300-0100;;CHN;China Radio Int.;S;SAm;ka;0;;
9590;0130-0230;;MYA;Thazin Radio;WA;SEA;p;1;;[0418]
9590;0230-0330;;MYA;Thazin Radio;K-P;SEA;p;1;;[0416]
9590;0430-0530;;MYA;Thazin Radio;MRU;SEA;p;8;;[0317]
9590;0530-0630;;MYA;Thazin Radio;POR;SEA;p;1;;[0418]
9590;0630-0730;;MYA;Thazin Radio;KYH;SEA;p;1;;[0418]
9590;0730-0830;;MYA;Thazin Radio;SHA;SEA;p;1;;[0418]
9590;1400-1500;;TWN;Radio Taiwan Int.;R;Sib;s;1;;
9595;1615-1715;;IND;All India Radio GOS;R;Eu;k;8;;
9595;0830-0900;Sa;J;Radio Nikkei 1;E;FE;c;1;;
9595;1330-1400;Th;J;Radio Nikkei 1;E;FE;c;1;;[0616]
9595;2155-1500;;J;Radio Nikkei 1;J;FE;c;1;;[0518]
9600;1200-1300;;CHN;China Radio Int.;E;SEA;k;0;;
9600;1300-1400;;CHN;China Radio Int.;BE;SAs;a;0;;
9600;1500-1530;;CHN;China Radio Int.;FS;IRN;ka;0;;
9600;1800-1900;;CHN;China Radio Int.;E;Eu;b;0;;
9600;2000-2100;;CHN;China Radio Int.;E;Eu;ka;0;;
9600;2100-2200;;CHN;China Radio Int.;E;Eu;ka;0;;
9600;0300-1200;;CHN;PBS Xinjiang;M;CHN;uc;1;;
9600;2200-2230;;CVA;Radio Vaticana;M;FE;/PHL-t;0;;
9600;2315-2400;;CVA;Radio Vaticana;VN;SEA;/PHL-t;0;;
9600;0900-1300;irr;EGY;Unknown Station;-MX;ME;;1;;[0318]
9600;0430-0500;;HOL;Radio Dabanga;SUD;SDN;/F;0;;
9600;0330-0430;;HOL;Radio Tamazuj;SUD;SSD;/F;0;;
9600;1530-1600;;J;NHK Radio Japan;HI;SAs;/UZB;0;;
9600;0200-0300;;MDG;MWV African Pathways R.;E;SAs;m;1;;
9600;1400-1500;;ROU;Radio Romania Int.;D;WEu;t;0;;
9600;1700-1730;;USA;Adventist World Radio;SWA;EAf;/AFS;0;;
9600;1730-1800;;USA;Adventist World Radio;MAS;EAf;/AFS;0;;
9600;1900-1930;Su;USA;Follow the Bible Min.;E;SAf;/ASC;1;;
9605;1600-1700;;CHN;China Radio Int.;R;EEu;b;0;;
9605;1900-2000;;EGY;Radio Cairo;R;EEu;a;0;;[0418]
9605;0100-0200;;KOR;KBS World Radio;S;SAm;/USA-c;0;;
9610;1300-1315;Mo,We;AUS;Reach Beyond Australia;MAL;SAs;ku;0;;
9610;1300-1315;246;AUS;Reach Beyond Australia;TAM;SAs;ku;0;;
9610;1300-1330;Su;AUS;Reach Beyond Australia;E;SAs;ku;0;;
9610;1300-1330;Fr;AUS;Reach Beyond Australia;GU;SAs;ku;0;;
9610;1315-1330;We;AUS;Reach Beyond Australia;GU;SAs;ku;0;;
9610;1315-1330;1246;AUS;Reach Beyond Australia;TEL;SAs;ku;0;;
9610;0300-0400;;CHN;China National Radio 8;MO;CHN;B;1;;
9610;0400-0600;;CHN;China National Radio 8;MO;CHN;B;1;;
9610;2055-0300;;CHN;China National Radio 8;MO;CHN;B;1;;
9610;0000-0100;;CHN;China Radio Int.;HK;SEA;k;0;;
9610;0100-0200;;CHN;China Radio Int.;AM;SEA;k;0;;
9610;1100-1200;;CHN;China Radio Int.;M;Oc;k;0;;
9610;1500-1600;;CHN;China Radio Int.;BE;SAs;k;0;;
9610;1130-1145;;CVA;Radio Vaticana;S;Car;/USA-g;0;;
9610;1800-1830;Sa;G;Bible Voice;A;IRN;/D-n;0;;
9610;1800-1830;Fr;G;Bible Voice;FS;IRN;/D-n;0;;
9610;1800-1900;Th;G;Bible Voice;FS;IRN;/D-n;0;;
9610;1830-1900;Tu,Su;G;Bible Voice;FS;IRN;/D-n;0;;
9610;1430-1457;;PHL;Radio Veritas Asia;UR;SAs;p;6;2503;3006
9610;0745-0755;Mo;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0518]
9610;1045-1055;Tu,We;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0615]
9610;1200-1230;;ROU;Radio Romania Int.;RO;ME;g;0;;
9610;1400-1430;;TUR;Voice of Turkey;I;SEu;e;0;;
9610;2000-2030;;USA;Adventist World Radio;F;NAf;/D-n;6;2503;0105
9615;0200-0230;;G;BBC;PS;AFG;/ARM;0;;
9615;0230-0300;;G;BBC;DR;AFG;/ARM;0;;
9615;1530-1830;;G;BBC;K;FE;/PHL-t;0;;
9615;1330-1430;;USA;Voice of America;KH;SEA;/PHL-t;0;;
9620;0600-0700;;ALG;Radio Algerienne;A;WAf;/F;0;;
9620;0100-0600;;CHN;CNR 2 China Business R.;M;CHN;B;1;;
9620;0600-0855;Th-Tu;CHN;CNR 2 China Business R.;M;CHN;B;1;;
9620;0855-1300;;CHN;CNR 2 China Business R.;M;CHN;B;5;;
9620;2300-0100;;CHN;CNR 2 China Business R.;M;CHN;B;5;;
9620;0400-0500;;F;Radio France Int.;F;EAf;;6;0209;2710
9620;1130-1135;;IND;AIR Delhi;HI;PAK;a;1;;
9620;1135-1140;;IND;AIR Delhi;E;PAK;a;1;;
9620;0015-0430;;IND;All India Radio GOS;UR;PAK;a;6;2903;2903
9620;0100-0200;;IND;All India Radio GOS;SD;PAK;k;1;;
9620;0830-1130;;IND;All India Radio GOS;UR;PAK;a;1;;
9620;1230-1500;;IND;All India Radio GOS;SD;PAK;a;1;;
9620;1500-1600;;IND;All India Radio GOS;BC;PAK;a;1;;
9620;1615-1730;;IND;All India Radio GOS;FS;IRN;a;1;;
9620;1730-1945;;IND;All India Radio GOS;A;ME;a;1;;
9620;1945-2045;;IND;All India Radio GOS;F;WAf;a;1;;
9620;1400-2000;;OMA;Radio Sultanate Oman;A;Eu;t;8;;
9620;2030-2130;;TUR;Voice of Turkey;E;AUS;e;0;;
9625;0800-1200;Mo-Fr;AFS;Channel Africa;E;SAf;;1;;
9625;1200-1300;Mo-Fr;AFS;Channel Africa;NY;SAf;;1;;
9625;1300-1400;Mo-Fr;AFS;Channel Africa;LOZ;SAf;;1;;
9625;1400-1500;Mo-Fr;AFS;Channel Africa;P;SAf;;1;;
9625;1500-1600;Mo-Fr;AFS;Channel Africa;E;SAf;;1;;
9625;2200-2300;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
9625;1115-1200;;J;NHK Radio Japan;IN;INS;/PLW;0;;
9625;1200-1300;;TWN;Radio Taiwan Int.;T;SEA;p;1;;
9625;1400-1500;;TWN;Radio Taiwan Int.;VN;SEA;p;1;;
9625;1500-1600;;TWN;Radio Taiwan Int.;T;SEA;p;1;;
9625;2300-0100;;TWN;Radio Taiwan Int.;T;SEA;p;1;;
9625;2200-2300;;USA;Voice of America;M;FE;/PHL-t;0;;
9625;1200-1300;;USA;World Harvest Radio 4;E;INS;/PLW;0;;
9630.5;0000-2400;;B;Rádio Aparecida;P;B;ap;1;;[0418]
9630;0000-0600;;CHN;China National Radio 1;M;CHN;q;1;;
9630;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;q;1;;
9630;0850-1100;;CHN;China National Radio 1;M;CHN;q;5;;
9630;0850-1200;;CHN;China National Radio 1;M;CHN;q;4;;
9630;1200-1500;;CHN;China National Radio 17;KZ;CHN;L;1;;
9630;1500-1805;;CHN;China National Radio 17;KZ;CHN;L;1;;
9630;1400-1700;;KOR;KBS World Radio;E;SAs;k;4;;
9630;1700-1730;;S;IBRA Radio;OO;EAf;/UAE;0;;
9630;1730-1800;;S;IBRA Radio;TIG;EAf;/UAE;0;;
9635;1815-1830;Su;G;Bible Voice;E;ME;/D-n;0;;
9635;1830-1915;Su;G;Bible Voice;E;ME;/D-n;0;;
9635;0800-1700;;MLI;RTV du Mali;BM;WAf;k;1;;[0418]
9635;0900-0910;;MLI;RTV du Mali;F;WAf;k;1;;[0118]
9635;1300-1310;;MLI;RTV du Mali;F;WAf;k;1;;[0615]
9635;1700-1715;;MLI;RTV du Mali;F;WAf;k;1;;[0118]
9635;1715-1800;;MLI;RTV du Mali;BM;WAf;k;1;;[0118]
9635;1930-2030;;TUR;Voice of Turkey;F;WEu;e;0;;
9635;0100-0700;;TWN;Sound of Hope;M;FE;;1;;[0917]
9635;0700-0800;;TWN;Sound of Hope;M;FE;;1;;
9635;0800-1000;;TWN;Sound of Hope;M;FE;;1;;[0418]
9635;1000-1100;;TWN;Sound of Hope;M;FE;;1;;[0617]
9635;1100-1400;;TWN;Sound of Hope;M;FE;;1;;[1117]
9635;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
9635;1500-1600;;TWN;Sound of Hope;M;FE;;1;;[1214]
9635;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
9635;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
9635;2300-0100;;TWN;Sound of Hope;M;FE;;1;;[0417]
9635.8;2145-1600;;VTN;Voice of Vietnam 1;VN;Oc;s;1;;[0418]
9640;2100-2300;;CHN;China Radio Int.;S;SEu;ka;0;;
9640;0000-0100;;CUB;Radio Habana Cuba;S;Car;be;4;;
9640;0100-0200;;CUB;Radio Habana Cuba;S;Car;be;4;;
9640;0200-0300;;CUB;Radio Habana Cuba;S;Car;be;4;;
9640;0300-0500;;CUB;Radio Habana Cuba;S;Car;be;4;;
9640;2200-2300;;CUB;Radio Habana Cuba;S;Car;be;4;;
9640;2300-2400;;CUB;Radio Habana Cuba;S;Car;be;4;;
9640;1640-1700;;CVA;Radio Vaticana;UK;EEu;;0;;
9640;1700-1720;;CVA;Radio Vaticana;BY;EEu;;0;;
9640;1500-1600;;KOR;KBS World Radio;VN;SEA;k;1;;
9640;1600-1700;;KOR;KBS World Radio;E;SEA;k;1;;
9645;0100-0600;;CHN;China National Radio 1;M;CHN;b;4;;
9645;0600-0830;We-Mo;CHN;China National Radio 1;M;CHN;b;4;;
